Date,Indonesia_Index,Indonesia_ETF,Singapore_Index,Singapore_ETF,Malaysia_Index,Malaysia_ETF,Thailand_Index,Thailand_ETF,Philippines_Index,Philippines_ETF
2015-02-10,5321.2666015625,22.281190872192383,3434.239990234375,17.406938552856445,1811.1199951171875,27.756511688232422,1594.9599609375,62.94843673706055,7721.15478515625,37.11804962158203
2015-02-11,5336.3115234375,22.10859489440918,3444.570068359375,17.39344596862793,1798.949951171875,27.16202163696289,1605.1099853515625,63.41236114501953,7684.4541015625,36.77486801147461
2015-02-12,5343.203125,22.651033401489258,3419.169921875,17.433929443359375,1789.0699462890625,27.531017303466797,1613.4000244140625,64.54127502441406,7712.56640625,37.479305267333984
2015-02-13,5373.95556640625,22.782535552978516,3426.219970703125,17.487903594970703,1800.949951171875,28.04349136352539,1615.8900146484375,64.6263198852539,7771.45166015625,37.623802185058594
2015-02-16,5325.28759765625,,3427.159912109375,,1808.8900146484375,,1608.0400390625,,7782.6484375,
2015-02-17,5337.29345703125,22.618162155151367,3415.909912109375,17.406938552856445,1810.0899658203125,27.8385066986084,1587.75,62.963897705078125,7791.396484375,37.76830291748047
2015-02-18,5390.23974609375,22.66747283935547,3435.659912109375,17.487903594970703,1807.8699951171875,27.55150604248047,1603.1400146484375,63.82218551635742,7801.4443359375,37.92183303833008
2015-02-20,5399.8935546875,22.85651206970215,,17.487903594970703,,27.469514846801758,1603.449951171875,64.10826873779297,7823.37841796875,37.957950592041016
2015-02-23,5403.06640625,22.6428165435791,3421.300048828125,17.379955291748047,1809.3900146484375,27.387514114379883,1593.8900146484375,62.994834899902344,7824.05810546875,37.69605255126953
2015-02-24,5417.103515625,22.80719566345215,3437.610107421875,17.528385162353516,1818.6800537109375,27.777009963989258,1598.6600341796875,63.845375061035156,7832.845703125,38.2379150390625
2015-02-25,5444.89599609375,22.86472511291504,3440.830078125,17.555374145507812,1815.8599853515625,27.756511688232422,1589.3299560546875,63.21131896972656,7842.04345703125,38.20179748535156
2015-02-26,5451.2099609375,22.93047332763672,3426.179931640625,17.433929443359375,1820.8699951171875,27.797504425048828,1593.550048828125,63.28864288330078,7762.39404296875,37.840553283691406
2015-02-27,5450.08203125,22.66747283935547,3402.860107421875,17.29899024963379,1821.2099609375,27.81800651550293,1587.010009765625,63.14946365356445,7728.58251953125,37.705081939697266
2015-03-02,5477.61767578125,22.922260284423828,3403.889892578125,17.231521606445312,1817.1300048828125,27.654010772705078,1582.1400146484375,63.50514221191406,7771.92138671875,37.94892883300781
2015-03-03,5474.40576171875,22.782535552978516,3422.110107421875,17.258508682250977,1821.25,27.469514846801758,1562.8399658203125,62.52315902709961,7774.5107421875,37.750240325927734
2015-03-04,5447.84716796875,22.437349319458008,3415.530029296875,17.164051055908203,1825.5400390625,27.203020095825195,,62.26799011230469,7845.8125,37.92183303833008
2015-03-05,5450.73486328125,22.40447425842285,3395.27001953125,17.110082626342773,1806.0899658203125,27.08002281188965,1553.3299560546875,62.453556060791016,7817.02978515625,37.94892883300781
2015-03-06,5514.57275390625,22.305850982666016,3417.510009765625,16.948156356811523,1806.9599609375,26.731525421142578,1568.2900390625,62.12107849121094,7859.30908203125,37.39802169799805
2015-03-09,5444.421875,22.190786361694336,3404.570068359375,16.867189407348633,1791.739990234375,26.690526962280273,1559.7099609375,62.26799011230469,7818.27978515625,37.569610595703125
